time	V(n001)	V(n002)	I(L1)	I(L2)
6.361394550246212e-001	8.510670e-001	-1.400329e-001	2.558972e-002	2.368803e-002
6.376008835960431e-001	8.501056e-001	-1.397561e-001	2.703727e-002	2.367667e-002
6.390623121674650e-001	8.490915e-001	-1.393262e-001	2.848240e-002	2.366536e-002
6.405237407388870e-001	8.480247e-001	-1.387434e-001	2.992512e-002	2.365410e-002
6.419851693103089e-001	8.469052e-001	-1.380075e-001	3.136543e-002	2.364288e-002
6.434465978817308e-001	8.457329e-001	-1.371186e-001	3.280333e-002	2.363171e-002
6.449080264531527e-001	8.445079e-001	-1.360767e-001	3.423881e-002	2.362059e-002
6.449180264531527e-001	8.444993e-001	-1.360690e-001	3.424862e-002	2.362051e-002
6.463794550245746e-001	8.432215e-001	-1.348736e-001	3.568061e-002	2.360948e-002
6.478408835959965e-001	8.418918e-001	-1.335278e-001	3.710809e-002	2.359858e-002
6.493023121674184e-001	8.405103e-001	-1.320316e-001	3.853108e-002	2.358782e-002
6.507637407388404e-001	8.390770e-001	-1.303849e-001	3.994956e-002	2.357719e-002
6.522251693102623e-001	8.375918e-001	-1.285879e-001	4.136354e-002	2.356670e-002
6.536865978816842e-001	8.360547e-001	-1.266405e-001	4.277302e-002	2.355634e-002
6.551480264531061e-001	8.344659e-001	-1.245426e-001	4.417800e-002	2.354611e-002
6.551580264531061e-001	8.344548e-001	-1.245278e-001	4.418759e-002	2.354604e-002
6.566194550245280e-001	8.328143e-001	-1.222799e-001	4.558698e-002	2.353599e-002
6.580808835959499e-001	8.311233e-001	-1.198858e-001	4.697982e-002	2.352616e-002
6.595423121673718e-001	8.293818e-001	-1.173456e-001	4.836612e-002	2.351654e-002
6.610037407387938e-001	8.275900e-001	-1.146591e-001	4.974587e-002	2.350715e-002
6.624651693102157e-001	8.257477e-001	-1.118264e-001	5.111908e-002	2.349797e-002
6.639265978816376e-001	8.238550e-001	-1.088476e-001	5.248574e-002	2.348901e-002
6.653880264530595e-001	8.219119e-001	-1.057225e-001	5.384585e-002	2.348027e-002
