time	V(n001)	I(C1)
3.215183107211861e+000	-9.957282e-001	7.340556e-002
3.225423107211928e+000	-9.949244e-001	8.359698e-002
3.235663107211996e+000	-9.940162e-001	9.377954e-002
3.245903107212063e+000	-9.930038e-001	1.039522e-001
3.256143107212130e+000	-9.918873e-001	1.141138e-001
3.266383107212197e+000	-9.906668e-001	1.242633e-001
3.276623107212264e+000	-9.893424e-001	1.343997e-001
3.286863107212331e+000	-9.879143e-001	1.445220e-001
3.297103107212398e+000	-9.863827e-001	1.546289e-001
3.307343107212465e+000	-9.847476e-001	1.647195e-001
3.317583107212532e+000	-9.830093e-001	1.747928e-001
3.327823107212599e+000	-9.811679e-001	1.848476e-001
3.338063107212666e+000	-9.792237e-001	1.948830e-001
3.348303107212733e+000	-9.771767e-001	2.048978e-001
3.358543107212801e+000	-9.750274e-001	2.148910e-001
3.368783107212868e+000	-9.727759e-001	2.248616e-001
3.379023107212935e+000	-9.704223e-001	2.348085e-001
3.389263107213002e+000	-9.679671e-001	2.447307e-001
3.399503107213069e+000	-9.654104e-001	2.546271e-001
3.409743107213136e+000	-9.627524e-001	2.644967e-001
3.419983107213203e+000	-9.599935e-001	2.743385e-001
3.430223107213270e+000	-9.571341e-001	2.841515e-001
3.440463107213337e+000	-9.541742e-001	2.939345e-001
3.450703107213404e+000	-9.511144e-001	3.036866e-001
3.460943107213471e+000	-9.479548e-001	3.134067e-001
3.471183107213538e+000	-9.446959e-001	3.230940e-001
3.481423107213606e+000	-9.413380e-001	3.327472e-001
3.491663107213673e+000	-9.378814e-001	3.423654e-001
3.501903107213740e+000	-9.343265e-001	3.519476e-001
3.512143107213807e+000	-9.306736e-001	3.614928e-001
3.522383107213874e+000	-9.269232e-001	3.710001e-001
3.532623107213941e+000	-9.230757e-001	3.804683e-001
3.542863107214008e+000	-9.191313e-001	3.898965e-001
3.553103107214075e+000	-9.150907e-001	3.992838e-001
3.563343107214142e+000	-9.109542e-001	4.086291e-001
3.573583107214209e+000	-9.067221e-001	4.179314e-001
3.583823107214276e+000	-9.023951e-001	4.271899e-001
3.594063107214343e+000	-8.979734e-001	4.364034e-001
3.604303107214411e+000	-8.934577e-001	4.455711e-001
3.614543107214478e+000	-8.888483e-001	4.546920e-001
3.624783107214545e+000	-8.841458e-001	4.637651e-001
3.635023107214612e+000	-8.793505e-001	4.727895e-001
3.645263107214679e+000	-8.744632e-001	4.817642e-001
3.655503107214746e+000	-8.694842e-001	4.906883e-001
3.665743107214813e+000	-8.644141e-001	4.995609e-001
3.675983107214880e+000	-8.592534e-001	5.083810e-001
3.686223107214947e+000	-8.540027e-001	5.171477e-001
3.696463107215014e+000	-8.486624e-001	5.258601e-001
3.706703107215081e+000	-8.432332e-001	5.345172e-001
3.716943107215148e+000	-8.377157e-001	5.431182e-001
3.727183107215216e+000	-8.321103e-001	5.516622e-001
3.737423107215283e+000	-8.264178e-001	5.601482e-001
3.747663107215350e+000	-8.206387e-001	5.685755e-001
3.757903107215417e+000	-8.147736e-001	5.769430e-001
3.768143107215484e+000	-8.088231e-001	5.852499e-001
3.778383107215551e+000	-8.027879e-001	5.934954e-001
3.788623107215618e+000	-7.966685e-001	6.016786e-001
3.798863107215685e+000	-7.904657e-001	6.097986e-001
3.809103107215752e+000	-7.841801e-001	6.178545e-001
3.819343107215819e+000	-7.778123e-001	6.258457e-001
3.829583107215886e+000	-7.713630e-001	6.337711e-001
3.839823107215953e+000	-7.648329e-001	6.416299e-001
3.850063107216021e+000	-7.582226e-001	6.494214e-001
3.860303107216088e+000	-7.515330e-001	6.571447e-001
3.870543107216155e+000	-7.447646e-001	6.647991e-001
3.880783107216222e+000	-7.379181e-001	6.723837e-001
3.891023107216289e+000	-7.309944e-001	6.798976e-001
3.901263107216356e+000	-7.239941e-001	6.873402e-001
3.911503107216423e+000	-7.169179e-001	6.947107e-001
3.921743107216490e+000	-7.097666e-001	7.020082e-001
3.931983107216557e+000	-7.025410e-001	7.092321e-001
3.942223107216624e+000	-6.952418e-001	7.163815e-001
3.952463107216691e+000	-6.878698e-001	7.234557e-001
3.962703107216758e+000	-6.804257e-001	7.304540e-001
3.972943107216826e+000	-6.729103e-001	7.373756e-001
3.983183107216893e+000	-6.653245e-001	7.442198e-001
3.993423107216960e+000	-6.576690e-001	7.509860e-001
4.003663107216864e+000	-6.499446e-001	7.576733e-001
4.013903107216477e+000	-6.421521e-001	7.642811e-001
4.024143107216089e+000	-6.342924e-001	7.708087e-001
4.034383107215701e+000	-6.263662e-001	7.772554e-001
4.044623107215314e+000	-6.183745e-001	7.836205e-001
4.054863107214926e+000	-6.103179e-001	7.899034e-001
4.065103107214538e+000	-6.021975e-001	7.961034e-001
4.075343107214151e+000	-5.940140e-001	8.022199e-001
4.085583107213763e+000	-5.857683e-001	8.082522e-001
4.095823107213375e+000	-5.774613e-001	8.141997e-001
4.106063107212988e+000	-5.690938e-001	8.200617e-001
4.116303107212600e+000	-5.606667e-001	8.258377e-001
4.126543107212212e+000	-5.521810e-001	8.315271e-001
4.136783107211825e+000	-5.436374e-001	8.371292e-001
4.147023107211437e+000	-5.350369e-001	8.426434e-001
4.157263107211049e+000	-5.263804e-001	8.480693e-001
4.167503107210662e+000	-5.176687e-001	8.534061e-001
4.177743107210274e+000	-5.089029e-001	8.586535e-001
4.187983107209886e+000	-5.000838e-001	8.638107e-001
4.198223107209499e+000	-4.912124e-001	8.688773e-001
4.208463107209111e+000	-4.822895e-001	8.738528e-001
4.218703107208723e+000	-4.733162e-001	8.787366e-001
4.228943107208336e+000	-4.642933e-001	8.835281e-001
4.239183107207948e+000	-4.552218e-001	8.882270e-001
4.249423107207560e+000	-4.461027e-001	8.928327e-001
4.259663107207173e+000	-4.369369e-001	8.973448e-001
4.269903107206785e+000	-4.277254e-001	9.017627e-001
4.280143107206397e+000	-4.184692e-001	9.060860e-001
4.290383107206010e+000	-4.091691e-001	9.103142e-001
4.300623107205622e+000	-3.998263e-001	9.144469e-001
4.310863107205234e+000	-3.904416e-001	9.184837e-001
4.321103107204847e+000	-3.810160e-001	9.224243e-001
4.331343107204459e+000	-3.715506e-001	9.262679e-001
4.341583107204071e+000	-3.620464e-001	9.300145e-001
4.351823107203684e+000	-3.525043e-001	9.336635e-001
4.362063107203296e+000	-3.429253e-001	9.372146e-001
4.372303107202908e+000	-3.333105e-001	9.406673e-001
4.382543107202521e+000	-3.236608e-001	9.440213e-001
4.392783107202133e+000	-3.139772e-001	9.472764e-001
4.403023107201745e+000	-3.042609e-001	9.504321e-001
4.413263107201358e+000	-2.945127e-001	9.534881e-001
4.423503107200970e+000	-2.847338e-001	9.564441e-001
4.433743107200582e+000	-2.749251e-001	9.592997e-001
4.443983107200195e+000	-2.650877e-001	9.620548e-001
4.454223107199807e+000	-2.552226e-001	9.647089e-001
4.464463107199419e+000	-2.453308e-001	9.672619e-001
4.474703107199032e+000	-2.354134e-001	9.697134e-001
4.484943107198644e+000	-2.254714e-001	9.720632e-001
4.495183107198256e+000	-2.155059e-001	9.743111e-001
4.505423107197869e+000	-2.055179e-001	9.764568e-001
4.515663107197481e+000	-1.955084e-001	9.785000e-001
4.525903107197093e+000	-1.854785e-001	9.804407e-001
4.536143107196706e+000	-1.754293e-001	9.822785e-001
4.546383107196318e+000	-1.653618e-001	9.840133e-001
4.556623107195930e+000	-1.552771e-001	9.856449e-001
4.566863107195543e+000	-1.451762e-001	9.871731e-001
4.577103107195155e+000	-1.350601e-001	9.885978e-001
4.587343107194768e+000	-1.249300e-001	9.899188e-001
4.597583107194380e+000	-1.147869e-001	9.911361e-001
4.607823107193992e+000	-1.046319e-001	9.922494e-001
4.618063107193605e+000	-9.446604e-002	9.932586e-001
4.628303107193217e+000	-8.429035e-002	9.941636e-001
4.638543107192829e+000	-7.410592e-002	9.949644e-001
4.648783107192442e+000	-6.391383e-002	9.956609e-001
4.659023107192054e+000	-5.371514e-002	9.962530e-001
4.669263107191666e+000	-4.351093e-002	9.967406e-001
4.679503107191279e+000	-3.330225e-002	9.971237e-001
4.689743107190891e+000	-2.309019e-002	9.974022e-001
4.699983107190503e+000	-1.287581e-002	9.975761e-001
4.710223107190116e+000	-2.660187e-003	9.976454e-001
4.720463107189728e+000	7.555611e-003	9.976102e-001
4.730703107189340e+000	1.777051e-002	9.974703e-001
4.740943107188953e+000	2.798345e-002	9.972258e-001
4.751183107188565e+000	3.819334e-002	9.968768e-001
4.761423107188177e+000	4.839912e-002	9.964232e-001
4.771663107187790e+000	5.859973e-002	9.958652e-001
4.781903107187402e+000	6.879409e-002	9.952027e-001
4.792143107187014e+000	7.898112e-002	9.944359e-001
4.802383107186627e+000	8.915978e-002	9.935648e-001
4.812623107186239e+000	9.932898e-002	9.925896e-001
4.822863107185851e+000	1.094877e-001	9.915103e-001
4.833103107185464e+000	1.196348e-001	9.903270e-001
4.843343107185076e+000	1.297692e-001	9.890399e-001
4.853583107184688e+000	1.398899e-001	9.876491e-001
